date,close,open,high,low,volume
2020-4-23,5.161,5.103,5.209,5.084,109130
2020-4-24,5.140,5.139,5.189,5.105,92320
2020-4-27,5.197,5.202,5.269,5.154,87460
2020-4-28,5.223,5.182,5.251,5.170,103760
2020-4-29,5.261,5.199,5.280,5.197,102330
2020-4-30,5.189,5.271,5.294,5.178,126050
2020-5-1,5.110,5.166,5.171,5.078,92940
2020-5-4,5.123,5.084,5.132,5.060,94790
2020-5-5,5.158,5.167,5.186,5.117,92850
2020-5-6,5.198,5.179,5.241,5.146,132110
2020-5-7,5.274,5.190,5.294,5.190,120380
2020-5-11,5.257,5.309,5.371,5.245,155270
2020-5-12,5.257,5.269,5.291,5.222,105930
2020-5-13,5.224,5.195,5.272,5.188,114050
2020-5-14,5.202,5.226,5.235,5.148,114570
2020-5-15,5.182,5.237,5.272,5.177,102080
2020-5-18,5.318,5.203,5.347,5.203,159350
2020-5-19,5.355,5.373,5.378,5.323,116750
2020-5-20,5.443,5.342,5.455,5.329,90950
2020-5-21,5.391,5.444,5.463,5.380,108080
2020-5-22,5.289,5.382,5.389,5.262,108060
2020-5-26,5.362,5.342,5.405,5.334,114930
2020-5-27,5.260,5.346,5.369,5.248,99810
2020-5-28,5.333,5.302,5.380,5.294,80470
2020-5-29,5.377,5.350,5.387,5.320,120390
2020-6-1,5.484,5.400,5.488,5.385,135540
2020-6-2,5.529,5.469,5.532,5.450,123410
2020-6-3,5.525,5.540,5.552,5.487,111090
2020-6-4,5.533,5.499,5.547,5.449,120480
2020-6-5,5.690,5.511,5.698,5.508,181610
2020-6-8,5.700,5.660,5.719,5.619,146720
2020-6-9,5.774,5.730,5.780,5.676,146000
2020-6-10,5.907,5.778,5.913,5.775,168970
2020-6-11,5.765,5.903,5.928,5.739,159440
2020-6-12,5.785,5.716,5.841,5.688,142450
2020-6-15,5.708,5.775,5.776,5.667,178980
2020-6-16,5.729,5.773,5.834,5.699,135410
2020-6-17,5.770,5.747,5.805,5.714,105140
2020-6-18,5.805,5.772,5.862,5.752,107050
2020-6-19,5.850,5.808,5.899,5.787,104250
2020-6-22,5.881,5.812,5.901,5.811,98820
2020-6-23,5.905,5.905,5.920,5.822,106610
2020-6-24,5.865,5.898,5.947,5.859,109710
2020-6-25,5.893,5.873,5.944,5.853,81720
2020-6-26,5.957,5.941,6.006,5.924,102080
2020-6-29,5.962,5.932,5.993,5.925,122670
2020-6-30,6.015,5.982,6.055,5.973,183680
2020-7-1,6.061,6.037,6.094,5.996,147360
2020-7-2,6.073,6.089,6.120,6.049,121960
2020-7-3,6.017,6.079,6.086,5.987,26540
2020-7-6,6.129,6.043,6.143,6.031,39340
2020-7-7,6.188,6.163,6.195,6.077,40670
2020-7-8,6.232,6.177,6.248,6.169,46080
2020-7-9,6.300,6.248,6.360,6.247,59360
2020-7-10,6.412,6.303,6.429,6.254,50520
2020-7-13,6.571,6.456,6.632,6.439,81420
2020-7-14,6.499,6.500,6.532,6.431,45270
2020-7-15,6.386,6.544,6.549,6.375,49940
2020-7-16,6.437,6.404,6.443,6.307,42710
2020-7-17,6.448,6.418,6.463,6.387,27180
2020-7-20,6.488,6.444,6.522,6.387,30820
2020-7-21,6.535,6.488,6.565,6.473,37390
2020-7-22,6.486,6.568,6.601,6.416,42750
2020-7-23,6.545,6.477,6.551,6.434,30710
2020-7-24,6.415,6.486,6.506,6.366,47200
2020-7-27,6.421,6.412,6.472,6.390,24290
2020-7-28,6.477,6.468,6.520,6.390,33970
2020-7-29,6.474,6.455,6.504,6.426,24590
2020-7-30,6.431,6.499,6.505,6.393,30000
2020-7-31,6.413,6.474,6.500,6.375,39080
2020-8-3,6.490,6.352,6.505,6.303,46310
2020-8-4,6.453,6.494,6.494,6.409,25380
2020-8-5,6.495,6.468,6.538,6.434,48160
2020-8-6,6.479,6.491,6.511,6.435,27280
2020-8-7,6.308,6.494,6.496,6.227,60920
2020-8-10,6.397,6.240,6.427,6.236,49800
2020-8-11,6.386,6.394,6.415,6.339,26440
2020-8-12,6.433,6.353,6.450,6.269,47860
2020-8-13,6.256,6.423,6.438,6.253,46490
2020-8-14,6.367,6.261,6.384,6.257,37920
2020-8-17,6.446,6.365,6.490,6.344,34190
2020-8-18,6.568,6.467,6.600,6.428,57960
2020-8-19,6.685,6.601,6.707,6.577,66160
2020-8-20,6.602,6.636,6.651,6.561,31850
2020-8-21,6.490,6.647,6.650,6.466,41920
2020-8-24,6.516,6.502,6.580,6.493,26630
2020-8-25,6.529,6.517,6.543,6.492,21210
2020-8-26,6.594,6.546,6.602,6.528,23280
2020-8-27,6.621,6.593,6.652,6.541,33270
2020-8-28,6.667,6.630,6.709,6.624,37420
2020-9-1,6.688,6.729,6.830,6.682,49300
2020-9-2,6.697,6.692,6.722,6.637,32440
2020-9-3,6.564,6.700,6.723,6.549,45880
2020-9-4,6.710,6.566,6.780,6.566,45810
2020-9-7,6.789,6.796,6.822,6.727,26860
2020-9-8,6.668,6.784,6.811,6.642,36090
2020-9-9,6.734,6.677,6.766,6.659,27460
2020-9-10,6.669,6.769,6.772,6.610,34400
2020-9-11,6.739,6.612,6.755,6.590,31240
2020-9-14,6.796,6.741,6.800,6.706,27740
2020-9-15,6.762,6.781,6.829,6.748,28450
2020-9-16,6.777,6.750,6.794,6.735,35870
2020-9-17,6.781,6.777,6.796,6.677,39590
2020-9-18,6.813,6.804,6.875,6.776,35960
2020-9-21,6.692,6.843,6.878,6.657,46380
2020-9-22,6.780,6.706,6.807,6.702,39080
2020-9-23,6.605,6.765,6.767,6.594,57040
2020-9-24,6.524,6.564,6.582,6.450,65780
2020-9-25,6.545,6.579,6.610,6.503,36940
2020-9-28,6.572,6.577,6.639,6.543,29610
2020-9-29,6.579,6.614,6.624,6.524,34150
2020-9-30,6.672,6.618,6.697,6.564,36720
2020-10-1,6.387,6.677,6.711,6.330,53590
2020-10-2,6.553,6.355,6.584,6.271,58940
2020-10-5,6.529,6.562,6.580,6.472,19990
2020-10-6,6.530,6.540,6.557,6.508,17420
